"Statistic Label","Year","Partner Region","Trade Flow","Type of Ownership","NACE Rev 2 Activity","UNIT","VALUE"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Wholesale trade, except of motor vehicles and motorcycles (G46)","Euro Thousand","176148.243"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Retail trade, except of motor vehicles and motorcycles (G47)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Transportation and storage (H)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Accommodation and Food and Other Services (I, OTU)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Information and communication (J)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Financial and insurance activities (K)","Euro Thousand","97130.695"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Real estate activities (L)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Professional, scientific and technical activities (M)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Administrative and support service activities (N)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Unknown","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Of which - Domestically controlled without own affiliates abroad","Total Trade in Goods","Euro Thousand","515439.124"
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Agriculture, forestry and fishing (A)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Agriculture, Forestry & Fishing, Construction and Services, excluding Retail & Wholesale (A, F, H -U)","Euro Thousand","9106714.224"
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Mining and quarrying (B)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Industry (B - E)","Euro Thousand","6529938.609"
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Manufacturing (C)","Euro Thousand","6514045.246"
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Food products (C10)","Euro Thousand","536368.869"
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Beverages (C11)","Euro Thousand","89669.672"
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Tobacco products (C12)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Textiles (C13)","Euro Thousand","12316.182"
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Wearing apparel (C14)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Leather and related products (C15)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Wood and wood products, except furniture (C16)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Paper and paper products (C17)","Euro Thousand","35739.35"
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Printing and reproduction of recorded media (C18)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Coke and refined petroleum products (C19)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Chemicals and chemical products (C20)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Basic pharmaceutical products and preparations (C21)","Euro Thousand","2964122.181"
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Rubber and plastic products (C22)","Euro Thousand","132161.592"
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Other non-metallic mineral products (C23)","Euro Thousand","70816.286"
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Basic metals (C24)","Euro Thousand","22641.173"
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Fabricated metal products, except machinery and equipment (C25)","Euro Thousand","47178.383"
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Computer, electronic and optical products (C26)","Euro Thousand","528038.665"
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Electrical equipment (C27)","Euro Thousand","86324.898"
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Machinery and equipment n.e.c. (C28)","Euro Thousand","327928.345"
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Motor vehicles, trailers and semi-trailers (C29)","Euro Thousand","170958.114"
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Other transport equipment (C30)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Furniture (C31)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Other manufacturing (C32)","Euro Thousand","292598.979"
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Repair and installation of machinery and equipment (C33)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Electricity, gas, steam and air conditioning supply (D)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Water supply; sewerage, waste management and remediation activities (E)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Construction (F)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro Thousand","6725046.189"
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Wholesale and retail trade and repair of motor vehicles and motorcycles (G45)","Euro Thousand","1291686.181"
