Year,Partner Region,Trade Flow,Type of Ownership,NACE Rev 2 Activity,VALUE
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,"Retail trade, except of motor vehicles and motorcycles (G47)",
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Transportation and storage (H),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,"Accommodation and Food and Other Services (I, OTU)",
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Information and communication (J),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Financial and insurance activities (K),274786.961
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Real estate activities (L),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,"Professional, scientific and technical activities (M)",
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Administrative and support service activities (N),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Unknown,0.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled with own affiliates abroad,Total Trade in Goods,8139563.674
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,"Agriculture, forestry and fishing (A)",
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,"Agriculture, Forestry & Fishing, Construction and Services, excluding Retail & Wholesale (A, F, H -U)",160535.256
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Mining and quarrying (B),0.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Industry (B - E),169112.327
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Manufacturing (C),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Food products (C10),25867.515
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Beverages (C11),0.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Tobacco products (C12),0.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Textiles (C13),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Wearing apparel (C14),0.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Leather and related products (C15),0.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,"Wood and wood products, except furniture (C16)",0.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Paper and paper products (C17),0.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Printing and reproduction of recorded media (C18),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Coke and refined petroleum products (C19),0.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Chemicals and chemical products (C20),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Basic pharmaceutical products and preparations (C21),0.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Rubber and plastic products (C22),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Other non-metallic mineral products (C23),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Basic metals (C24),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,"Fabricated metal products, except machinery and equipment (C25)",
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,"Computer, electronic and optical products (C26)",
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Electrical equipment (C27),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Machinery and equipment n.e.c. (C28),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,"Motor vehicles, trailers and semi-trailers (C29)",
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Other transport equipment (C30),0.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Furniture (C31),0.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Other manufacturing (C32),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Repair and installation of machinery and equipment (C33),0.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,"Electricity, gas, steam and air conditioning supply (D)",
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,"Water supply; sewerage, waste management and remediation activities (E)",0.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Construction (F),1307.765
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),185791.541
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Wholesale and retail trade and repair of motor vehicles and motorcycles (G45),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,"Wholesale trade, except of motor vehicles and motorcycles (G46)",176148.243
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,"Retail trade, except of motor vehicles and motorcycles (G47)",
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Transportation and storage (H),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,"Accommodation and Food and Other Services (I, OTU)",
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Information and communication (J),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Financial and insurance activities (K),97130.695
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Real estate activities (L),0.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,"Professional, scientific and technical activities (M)",
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Administrative and support service activities (N),
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Unknown,0.0
2020,EU27 countries (from 2020),Imports,Of which - Domestically controlled without own affiliates abroad,Total Trade in Goods,515439.124
2020,EU27 countries (from 2020),Imports,Foreign controlled,"Agriculture, forestry and fishing (A)",
2020,EU27 countries (from 2020),Imports,Foreign controlled,"Agriculture, Forestry & Fishing, Construction and Services, excluding Retail & Wholesale (A, F, H -U)",9106714.224
2020,EU27 countries (from 2020),Imports,Foreign controlled,Mining and quarrying (B),
2020,EU27 countries (from 2020),Imports,Foreign controlled,Industry (B - E),6529938.609
2020,EU27 countries (from 2020),Imports,Foreign controlled,Manufacturing (C),6514045.246
2020,EU27 countries (from 2020),Imports,Foreign controlled,Food products (C10),536368.869
2020,EU27 countries (from 2020),Imports,Foreign controlled,Beverages (C11),89669.672
2020,EU27 countries (from 2020),Imports,Foreign controlled,Tobacco products (C12),0.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,Textiles (C13),12316.182
2020,EU27 countries (from 2020),Imports,Foreign controlled,Wearing apparel (C14),0.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,Leather and related products (C15),
2020,EU27 countries (from 2020),Imports,Foreign controlled,"Wood and wood products, except furniture (C16)",
2020,EU27 countries (from 2020),Imports,Foreign controlled,Paper and paper products (C17),35739.35
2020,EU27 countries (from 2020),Imports,Foreign controlled,Printing and reproduction of recorded media (C18),
2020,EU27 countries (from 2020),Imports,Foreign controlled,Coke and refined petroleum products (C19),
2020,EU27 countries (from 2020),Imports,Foreign controlled,Chemicals and chemical products (C20),
2020,EU27 countries (from 2020),Imports,Foreign controlled,Basic pharmaceutical products and preparations (C21),2964122.181
2020,EU27 countries (from 2020),Imports,Foreign controlled,Rubber and plastic products (C22),132161.592
2020,EU27 countries (from 2020),Imports,Foreign controlled,Other non-metallic mineral products (C23),70816.286
2020,EU27 countries (from 2020),Imports,Foreign controlled,Basic metals (C24),22641.173
2020,EU27 countries (from 2020),Imports,Foreign controlled,"Fabricated metal products, except machinery and equipment (C25)",47178.383
2020,EU27 countries (from 2020),Imports,Foreign controlled,"Computer, electronic and optical products (C26)",528038.665
2020,EU27 countries (from 2020),Imports,Foreign controlled,Electrical equipment (C27),86324.898
2020,EU27 countries (from 2020),Imports,Foreign controlled,Machinery and equipment n.e.c. (C28),327928.345
2020,EU27 countries (from 2020),Imports,Foreign controlled,"Motor vehicles, trailers and semi-trailers (C29)",170958.114
2020,EU27 countries (from 2020),Imports,Foreign controlled,Other transport equipment (C30),
2020,EU27 countries (from 2020),Imports,Foreign controlled,Furniture (C31),
2020,EU27 countries (from 2020),Imports,Foreign controlled,Other manufacturing (C32),292598.979
2020,EU27 countries (from 2020),Imports,Foreign controlled,Repair and installation of machinery and equipment (C33),
2020,EU27 countries (from 2020),Imports,Foreign controlled,"Electricity, gas, steam and air conditioning supply (D)",
2020,EU27 countries (from 2020),Imports,Foreign controlled,"Water supply; sewerage, waste management and remediation activities (E)",
2020,EU27 countries (from 2020),Imports,Foreign controlled,Construction (F),
2020,EU27 countries (from 2020),Imports,Foreign controlled,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),6725046.189
2020,EU27 countries (from 2020),Imports,Foreign controlled,Wholesale and retail trade and repair of motor vehicles and motorcycles (G45),1291686.181
2020,EU27 countries (from 2020),Imports,Foreign controlled,"Wholesale trade, except of motor vehicles and motorcycles (G46)",3892350.306
2020,EU27 countries (from 2020),Imports,Foreign controlled,"Retail trade, except of motor vehicles and motorcycles (G47)",1541009.702
2020,EU27 countries (from 2020),Imports,Foreign controlled,Transportation and storage (H),52279.217
2020,EU27 countries (from 2020),Imports,Foreign controlled,"Accommodation and Food and Other Services (I, OTU)",
2020,EU27 countries (from 2020),Imports,Foreign controlled,Information and communication (J),564365.671
2020,EU27 countries (from 2020),Imports,Foreign controlled,Financial and insurance activities (K),127425.197
2020,EU27 countries (from 2020),Imports,Foreign controlled,Real estate activities (L),
