Year,Partner Region,Trade Flow,Product,NACE Rev 2 Activity,VALUE
2020,EU27 countries (from 2020),Imports,Basic metals (C24),"Wholesale trade, except of motor vehicles and motorcycles (G46)",178417.474
2020,EU27 countries (from 2020),Imports,Basic metals (C24),"Retail trade, except of motor vehicles and motorcycles (G47)",5188.623
2020,EU27 countries (from 2020),Imports,Basic metals (C24),"Professional, scientific and technical activities (M)",8810.576
2020,EU27 countries (from 2020),Imports,Basic metals (C24),Administrative and support service activities (N),191.173
2020,EU27 countries (from 2020),Imports,"Fabricated metal products, except machinery and equipment (C25)","Agriculture, forestry and fishing (A)",1165.167
2020,EU27 countries (from 2020),Imports,"Fabricated metal products, except machinery and equipment (C25)",Food products (C10),6381.694
2020,EU27 countries (from 2020),Imports,"Fabricated metal products, except machinery and equipment (C25)",Beverages (C11),2543.103
2020,EU27 countries (from 2020),Imports,"Fabricated metal products, except machinery and equipment (C25)",Textiles (C13),375.457
2020,EU27 countries (from 2020),Imports,"Fabricated metal products, except machinery and equipment (C25)","Wood and wood products, except furniture (C16)",1744.558
2020,EU27 countries (from 2020),Imports,"Fabricated metal products, except machinery and equipment (C25)",Printing and reproduction of recorded media (C18),20.131
2020,EU27 countries (from 2020),Imports,"Fabricated metal products, except machinery and equipment (C25)",Chemicals and chemical products (C20),2333.648
2020,EU27 countries (from 2020),Imports,"Fabricated metal products, except machinery and equipment (C25)",Basic pharmaceutical products and preparations (C21),8012.897
2020,EU27 countries (from 2020),Imports,"Fabricated metal products, except machinery and equipment (C25)",Rubber and plastic products (C22),9430.812
2020,EU27 countries (from 2020),Imports,"Fabricated metal products, except machinery and equipment (C25)",Other non-metallic mineral products (C23),3015.164
2020,EU27 countries (from 2020),Imports,"Fabricated metal products, except machinery and equipment (C25)",Basic metals (C24),1347.298
2020,EU27 countries (from 2020),Imports,"Fabricated metal products, except machinery and equipment (C25)","Fabricated metal products, except machinery and equipment (C25)",13893.589
2020,EU27 countries (from 2020),Imports,"Fabricated metal products, except machinery and equipment (C25)","Computer, electronic and optical products (C26)",9450.221
2020,EU27 countries (from 2020),Imports,"Fabricated metal products, except machinery and equipment (C25)",Electrical equipment (C27),4107.261
2020,EU27 countries (from 2020),Imports,"Fabricated metal products, except machinery and equipment (C25)",Machinery and equipment n.e.c. (C28),16644.206
2020,EU27 countries (from 2020),Imports,"Fabricated metal products, except machinery and equipment (C25)",Furniture (C31),758.364
2020,EU27 countries (from 2020),Imports,"Fabricated metal products, except machinery and equipment (C25)",Other manufacturing (C32),7542.558
2020,EU27 countries (from 2020),Imports,"Fabricated metal products, except machinery and equipment (C25)","Water supply; sewerage, waste management and remediation activities (E)",268.28
2020,EU27 countries (from 2020),Imports,"Fabricated metal products, except machinery and equipment (C25)",Construction (F),32668.315
2020,EU27 countries (from 2020),Imports,"Fabricated metal products, except machinery and equipment (C25)",Wholesale and retail trade and repair of motor vehicles and motorcycles (G45),3578.652
2020,EU27 countries (from 2020),Imports,"Fabricated metal products, except machinery and equipment (C25)","Wholesale trade, except of motor vehicles and motorcycles (G46)",133784.174
2020,EU27 countries (from 2020),Imports,"Fabricated metal products, except machinery and equipment (C25)","Retail trade, except of motor vehicles and motorcycles (G47)",33055.867
2020,EU27 countries (from 2020),Imports,"Fabricated metal products, except machinery and equipment (C25)",Transportation and storage (H),2269.99
2020,EU27 countries (from 2020),Imports,"Fabricated metal products, except machinery and equipment (C25)",Information and communication (J),710.256
2020,EU27 countries (from 2020),Imports,"Fabricated metal products, except machinery and equipment (C25)",Financial and insurance activities (K),9701.85
2020,EU27 countries (from 2020),Imports,"Fabricated metal products, except machinery and equipment (C25)","Professional, scientific and technical activities (M)",6271.474
2020,EU27 countries (from 2020),Imports,"Fabricated metal products, except machinery and equipment (C25)",Administrative and support service activities (N),3878.566
2020,EU27 countries (from 2020),Imports,"Computer, electronic and optical products (C26)",Food products (C10),192.08
2020,EU27 countries (from 2020),Imports,"Computer, electronic and optical products (C26)","Wood and wood products, except furniture (C16)",63.894
2020,EU27 countries (from 2020),Imports,"Computer, electronic and optical products (C26)",Paper and paper products (C17),121.2
2020,EU27 countries (from 2020),Imports,"Computer, electronic and optical products (C26)",Chemicals and chemical products (C20),2539.25
2020,EU27 countries (from 2020),Imports,"Computer, electronic and optical products (C26)",Basic pharmaceutical products and preparations (C21),4165.525
2020,EU27 countries (from 2020),Imports,"Computer, electronic and optical products (C26)",Rubber and plastic products (C22),2403.257
2020,EU27 countries (from 2020),Imports,"Computer, electronic and optical products (C26)",Other non-metallic mineral products (C23),86.846
2020,EU27 countries (from 2020),Imports,"Computer, electronic and optical products (C26)",Basic metals (C24),58.538
2020,EU27 countries (from 2020),Imports,"Computer, electronic and optical products (C26)","Fabricated metal products, except machinery and equipment (C25)",2510.079
2020,EU27 countries (from 2020),Imports,"Computer, electronic and optical products (C26)","Computer, electronic and optical products (C26)",432044.389
2020,EU27 countries (from 2020),Imports,"Computer, electronic and optical products (C26)",Electrical equipment (C27),16073.919
2020,EU27 countries (from 2020),Imports,"Computer, electronic and optical products (C26)",Machinery and equipment n.e.c. (C28),5498.427
2020,EU27 countries (from 2020),Imports,"Computer, electronic and optical products (C26)",Other manufacturing (C32),4497.812
2020,EU27 countries (from 2020),Imports,"Computer, electronic and optical products (C26)",Repair and installation of machinery and equipment (C33),10837.17
2020,EU27 countries (from 2020),Imports,"Computer, electronic and optical products (C26)","Water supply; sewerage, waste management and remediation activities (E)",221.878
2020,EU27 countries (from 2020),Imports,"Computer, electronic and optical products (C26)",Construction (F),1864.299
2020,EU27 countries (from 2020),Imports,"Computer, electronic and optical products (C26)","Wholesale trade, except of motor vehicles and motorcycles (G46)",931801.802
2020,EU27 countries (from 2020),Imports,"Computer, electronic and optical products (C26)",Transportation and storage (H),4649.073
2020,EU27 countries (from 2020),Imports,"Computer, electronic and optical products (C26)",Information and communication (J),560337.474
2020,EU27 countries (from 2020),Imports,"Computer, electronic and optical products (C26)",Financial and insurance activities (K),10452.537
2020,EU27 countries (from 2020),Imports,"Computer, electronic and optical products (C26)","Professional, scientific and technical activities (M)",10461.298
