Year,Partner Region,Trade Flow,Type of Ownership,NACE Rev 2 Activity,VALUE
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Industry (B - E),3511.0
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Manufacturing (C),3308.0
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Food products (C10),432.0
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Beverages (C11),100.0
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Tobacco products (C12),
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Textiles (C13),97.0
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Wearing apparel (C14),55.0
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Leather and related products (C15),
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,"Wood and wood products, except furniture (C16)",132.0
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Paper and paper products (C17),68.0
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Printing and reproduction of recorded media (C18),166.0
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Coke and refined petroleum products (C19),
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Chemicals and chemical products (C20),139.0
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Basic pharmaceutical products and preparations (C21),73.0
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Rubber and plastic products (C22),166.0
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Other non-metallic mineral products (C23),176.0
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Basic metals (C24),65.0
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,"Fabricated metal products, except machinery and equipment (C25)",386.0
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,"Computer, electronic and optical products (C26)",118.0
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Electrical equipment (C27),82.0
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Machinery and equipment n.e.c. (C28),248.0
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,"Motor vehicles, trailers and semi-trailers (C29)",51.0
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Other transport equipment (C30),
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Furniture (C31),
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Other manufacturing (C32),227.0
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Repair and installation of machinery and equipment (C33),290.0
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,"Electricity, gas, steam and air conditioning supply (D)",
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,"Water supply; sewerage, waste management and remediation activities (E)",116.0
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Construction (F),1992.0
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),10520.0
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Wholesale and retail trade and repair of motor vehicles and motorcycles (G45),1066.0
